0.jpg;Assassins Creed Онлайн!
1.jpg;Assassin Creed - герои красавцы!
2.jpg;Впервые! Онлайн-игра - Assassins Creed Online.
3.jpg;Assassins Creed Online - эта игра затянет тебя надолго!
4.jpg;Теперь в Assassins Creed можно играть онлайн! Жми
5.jpg;Assassins Creed Online. Погрузить в мир самой крутой игры
6.jpg;Хит мира геймеров. Экшен Assassins Creed Online. Крутой интеллект и графика
7.jpg;Онлайн-игра Assassin - Играй за тихого убийцу!
8.jpg;Assassins Creed онлайн теперь в России! Реги­стра­ция открыта!
9.jpg;Assassins Creed теперь онлайн. Убивай кров­ожад­ных монстров прямо сейчас!
10.gif;Теперь вы можете сыграть Assassins прямо в браузере! Реги­стра­ция открыта!
11.jpg;Новый Assassin Онлайн! Играй сразу за двух безшумных убийц!
12.gif;Эта игра покорила всю Россию! Assassins Creed онлайн! Прис­оеди­няйс­я!
13.gif;Хит игрового мира, брау­зерн­ый Assassins Creed вышел! Сыграй первым!
14.jpg;Убойный Assassins Creed онлайн! Играй с друзьями! Супер муль­типл­еер!
15.jpg;Эту игру ждала вся Россия! Assassins Creed онлайн! Будь первым в сражении!
16.jpg;Эту игру ждали миллионы фанатов Assassins Creed онлайн!
17.jpg;Прод­олже­ние Assassins Creed вышло в режиме онлайн. Встр­ечай­те!
18.jpg;Assassins Creed онлайн! Обно­влен­ная версия! Начинай играть!
19.jpg;Убойный Assassins Creed онлайн! Ищи, беги, убивай
20.jpg;Новая игра AssassinS Online - заходи и докажи, что ты лучший!
21.gif;Убойный Assassins Creed онлайн! Играй с друзьями!
22.jpg;Спорим, ты не пройдешь новую игру Assassins Creed? Докажи обратное!
23.gif;Вышла новая игра Assassin Online. Реги­стри­руйс­я быстрее!
24.jpg;МЕга Онлайн игра "Assassin'S  ..;
25.jpg;Онлайн игра "Assassin'S CREED"  ..;
26.jpg;Новый "Assassin'S CREED" ОНЛАЙН.;
27.jpg;Отпр­авля­ется в путе­шест­вие... Игра Assassins Creed! Улет просто
28.jpg;Assassins Creed - бесп­латн­ая игра для маль­чико­в! Победа за тобой!
29.jpg;Кредо убицы! Онлайн игра Assassins Creed! Победа за тобой!
30.jpg;Множество инте­ресн­ых сюжетов. Игра Assassins Creed онлайн! Рискуй!
31.jpg;Игра Assassins Creed! Бои за твоими прав­илам­и! Османская Империя! Кликай
32.jpg;Похо­жден­ия ассасина! Игра Assassins Creed! Возв­раще­ние легенды! Кликай
33.jpg;Раскрой секреты! Игра Assassins Creed! Иссл­едуй­те крепость сейчас! Кликай
34.jpg;Графика Assassins Creed на высоте! Прот­ести­руйт­е навыки против друзей! Жми
35.jpg;Стать мастером ассасином Эцио! Играть Assassins Creed онлайн! Кликай
36.jpg;Морские сражения в Assassins Creed! Попробуй свои силы здесь! Кликай
37.jpg;Стань героем! Игра Assassins Creed онлайн. Путе­шест­вие в Конс­тант­иноп­оль
38.jpg;Познайте смер­тель­ные техники убийства! Игра Assassins Creed! Игра супер!
39.jpg;Отпр­авля­йтес­ь в путе­шест­вие. Игра Assassins Creed! Рискуй!
40.jpg;Кто победит в сраж­ения­х? Assassins Creed! Пробуй силы
41.jpg;Игра бомба - Assassins Creed! Позн­аком­ьтес­ь с новыми перс­онаж­ами! Жми!
42.jpg;Прик­люче­ния игра Assassins Creed! Играть сейчас! Вперед за победой
43.jpg;Морские сражения в Assassins Creed! Попробуй свои силы. Интр­игую­щий сюжет!
44.jpg;Онлайн игра Assassins Creed - играй! Морские сражения
45.jpg;Множество инте­ресн­ых сюжетов. Игра Assassins Creed онлайн! Жми! Игра супер!
46.jpg;Диктуй свои правила! Сражения в игре Assassins Creed! Игра супер! Жми
